2019-06-09 18:23:51,020 [  15800]   INFO - tellij.psi.stubs.StubIndexImpl - stub exts update scheduled:2 
2019-06-09 18:23:51,020 [  15800]   INFO - il.indexing.FileBasedIndexImpl - Index FrameworkDetectionIndex will be built. 
2019-06-09 18:23:51,091 [  15871]   INFO - il.indexing.FileBasedIndexImpl - Index TodoIndex will be built. 
2019-06-09 18:23:51,460 [  16240]   INFO - il.indexing.FileBasedIndexImpl - Index IdIndex will be built. 
2019-06-09 18:23:51,495 [  16275]   INFO - il.indexing.FileBasedIndexImpl - Index Stubs will be built. 
2019-06-09 18:23:52,643 [  17423]   INFO - ij.psi.stubs.StubUpdatingIndex - Following new file types will be indexed:DGM File Type,HTML,Groovy,KNM,JAVA,KJSM,Properties,kotlin_builtins,XML,CLASS,Kotlin 
2019-06-09 18:23:54,655 [  19435]   INFO - il.indexing.FileBasedIndexImpl - Index Trigram.Index will be built. 
2019-06-09 18:23:54,691 [  19471]   INFO - il.indexing.FileBasedIndexImpl - Index fileIncludes will be built. 
2019-06-09 18:23:54,711 [  19491]   INFO - il.indexing.FileBasedIndexImpl - Index DomFileIndex will be built. 
2019-06-09 18:23:54,727 [  19507]   INFO - il.indexing.FileBasedIndexImpl - Index RelaxSymbolIndex will be built. 
2019-06-09 18:23:54,746 [  19526]   INFO - il.indexing.FileBasedIndexImpl - Index XmlTagNames will be built. 
2019-06-09 18:23:54,796 [  19576]   INFO - il.indexing.FileBasedIndexImpl - Index XmlNamespaces will be built. 
2019-06-09 18:23:54,813 [  19593]   INFO - il.indexing.FileBasedIndexImpl - Index html5.custom.attributes.index will be built. 
2019-06-09 18:23:54,829 [  19609]   INFO - il.indexing.FileBasedIndexImpl - Index SchemaTypeInheritance will be built. 
2019-06-09 18:23:54,908 [  19688]   INFO - il.indexing.FileBasedIndexImpl - Index json.file.root.values will be built. 
2019-06-09 18:23:54,924 [  19704]   INFO - il.indexing.FileBasedIndexImpl - Index ImageFileInfoIndex will be built. 
2019-06-09 18:23:54,962 [  19742]   INFO - il.indexing.FileBasedIndexImpl - Index bytecodeAnalysis will be built. 
2019-06-09 18:23:55,015 [  19795]   INFO - il.indexing.FileBasedIndexImpl - Index java.null.method.argument will be built. 
2019-06-09 18:23:55,033 [  19813]   INFO - il.indexing.FileBasedIndexImpl - Index java.simple.property will be built. 
2019-06-09 18:23:55,049 [  19829]   INFO - il.indexing.FileBasedIndexImpl - Index java.fun.expression will be built. 
2019-06-09 18:23:55,061 [  19841]   INFO - il.indexing.FileBasedIndexImpl - Index java.binary.plus.expression will be built. 
2019-06-09 18:23:55,075 [  19855]   INFO - il.indexing.FileBasedIndexImpl - Index jvm.hierarchy will be built. 
2019-06-09 18:23:55,088 [  19868]   INFO - il.indexing.FileBasedIndexImpl - Index RefQueueIndex will be built. 
2019-06-09 18:23:55,101 [  19881]   INFO - il.indexing.FileBasedIndexImpl - Index XsltSymbolIndex will be built. 
2019-06-09 18:23:55,114 [  19894]   INFO - il.indexing.FileBasedIndexImpl - Index xmlProperties will be built. 
2019-06-09 18:23:55,123 [  19903]   INFO - il.indexing.FileBasedIndexImpl - Index ant-imports will be built. 
2019-06-09 18:23:55,140 [  19920]   INFO - il.indexing.FileBasedIndexImpl - Index FormClassIndex will be built. 
2019-06-09 18:23:55,152 [  19932]   INFO - il.indexing.FileBasedIndexImpl - Index editorconfig.index.name will be built. 
2019-06-09 18:23:55,170 [  19950]   INFO - il.indexing.FileBasedIndexImpl - Index groovy.trait.fields will be built. 
2019-06-09 18:23:55,180 [  19960]   INFO - il.indexing.FileBasedIndexImpl - Index groovy.trait.methods will be built. 
2019-06-09 18:23:55,192 [  19972]   INFO - il.indexing.FileBasedIndexImpl - Index IdeaPluginRegistrationIndex will be built. 
2019-06-09 18:23:55,228 [  20008]   INFO - il.indexing.FileBasedIndexImpl - Index org.jetbrains.kotlin.idea.versions.KotlinJvmMetadataVersionIndex will be built. 
2019-06-09 18:23:55,240 [  20020]   INFO - il.indexing.FileBasedIndexImpl - Index org.jetbrains.kotlin.idea.versions.KotlinJsMetadataVersionIndex will be built. 
2019-06-09 18:23:55,256 [  20036]   INFO - il.indexing.FileBasedIndexImpl - Index org.jetbrains.kotlin.idea.vfilefinder.KotlinClassFileIndex will be built. 
2019-06-09 18:23:55,667 [  20447]   INFO - plication.impl.ApplicationImpl - 74 application components initialized in 15593ms 
2019-06-09 18:23:55,679 [  20459]   INFO - il.indexing.FileBasedIndexImpl - Index org.jetbrains.kotlin.idea.vfilefinder.KotlinJavaScriptMetaFileIndex will be built. 
2019-06-09 18:23:55,836 [  20616]   INFO - il.indexing.FileBasedIndexImpl - Index org.jetbrains.kotlin.idea.vfilefinder.KotlinMetadataFileIndex will be built. 
2019-06-09 18:23:55,849 [  20629]   INFO - il.indexing.FileBasedIndexImpl - Index org.jetbrains.kotlin.idea.vfilefinder.KotlinMetadataFilePackageIndex will be built. 
2019-06-09 18:23:55,864 [  20644]   INFO - il.indexing.FileBasedIndexImpl - Index org.jetbrains.kotlin.idea.vfilefinder.KotlinModuleMappingIndex will be built. 
2019-06-09 18:23:55,929 [  20709]   INFO - il.indexing.FileBasedIndexImpl - Index org.jetbrains.kotlin.idea.vfilefinder.KotlinPackageSourcesMemberNamesIndex will be built. 
2019-06-09 18:23:55,972 [  20752]   INFO - il.indexing.FileBasedIndexImpl - Index org.jetbrains.kotlin.idea.vfilefinder.KotlinJvmModuleAnnotationsIndex will be built. 
2019-06-09 18:23:56,025 [  20805]   INFO - il.indexing.FileBasedIndexImpl - Index org.jetbrains.kotlin.ide.konan.index.KotlinNativeMetaFileIndex will be built. 
2019-06-09 18:23:56,043 [  20823]   INFO - il.indexing.FileBasedIndexImpl - Index JavaFxControllerClassIndex will be built. 
2019-06-09 18:23:56,059 [  20839]   INFO - il.indexing.FileBasedIndexImpl - Index javafx.id.name will be built. 
2019-06-09 18:23:56,071 [  20851]   INFO - il.indexing.FileBasedIndexImpl - Index javafx.custom.component will be built. 
2019-06-09 18:23:56,085 [  20865]   INFO - il.indexing.FileBasedIndexImpl - Index yaml.keys.name will be built. 
2019-06-09 18:23:56,136 [  20916]   INFO - pl$FileIndexDataInitialization - Initialization done:5333 
2019-06-09 18:23:56,203 [  20983]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index dom.namespaceKey will be built. 
2019-06-09 18:23:56,215 [  20995]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index dom.elementClass will be built. 
2019-06-09 18:23:56,231 [  21011]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index java.module.name will be built. 
2019-06-09 18:23:56,254 [  21034]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index java.method.parameter.types will be built. 
2019-06-09 18:23:56,261 [  21041]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index java.class.extlist will be built. 
2019-06-09 18:23:56,291 [  21071]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index java.class.shortname will be built. 
2019-06-09 18:23:56,308 [  21088]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index jvm.static.member.type will be built. 
2019-06-09 18:23:56,315 [  21095]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index jvm.static.member.name will be built. 
2019-06-09 18:23:56,323 [  21103]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index java.method.name will be built. 
2019-06-09 18:23:56,352 [  21132]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index java.class.fqn will be built. 
2019-06-09 18:23:56,358 [  21138]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index java.field.name will be built. 
2019-06-09 18:23:56,367 [  21147]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index java.anonymous.baseref will be built. 
2019-06-09 18:23:56,381 [  21161]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index java.annotations will be built. 
2019-06-09 18:23:56,388 [  21168]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index properties.index will be built. 
2019-06-09 18:23:56,446 [  21226]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index gr.class.fqn will be built. 
2019-06-09 18:23:56,457 [  21237]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index gr.script.fqn will be built. 
2019-06-09 18:23:56,463 [  21243]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index gr.field.name will be built. 
2019-06-09 18:23:56,488 [  21268]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index gr.method.name will be built. 
2019-06-09 18:23:56,494 [  21274]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index gr.annot.method.name will be built. 
2019-06-09 18:23:56,508 [  21288]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index gr.annot.members will be built. 
2019-06-09 18:23:56,530 [  21310]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index gr.script.class will be built. 
2019-06-09 18:23:56,542 [  21322]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index gr.class.super will be built. 
2019-06-09 18:23:56,559 [  21339]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index gr.anonymous.class will be built. 
2019-06-09 18:23:56,578 [  21358]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index org.jetbrains.kotlin.idea.stubindex.KotlinExactPackagesIndex will be built. 
2019-06-09 18:23:56,612 [  21392]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index org.jetbrains.kotlin.idea.stubindex.KotlinTopLevelClassByPackageIndex will be built. 
2019-06-09 18:23:56,622 [  21402]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index org.jetbrains.kotlin.idea.stubindex.KotlinTopLevelFunctionByPackageIndex will be built. 
2019-06-09 18:23:56,659 [  21439]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index org.jetbrains.kotlin.idea.stubindex.KotlinTopLevelPropertyByPackageIndex will be built. 
